STRESSOR_NAME,DATA_TYPE,CAS_RN,INCHIKEY_STANDARD,MANUAL_CHECK,NOTE,NEW,Frequency
PCB37,NA,CAS_38444-90-5,YZANRISAORXTHU-UHFFFAOYSA-N,NA,NA,NA,NA
UV-320,NA,CAS_3846-71-7,LHPPDQUVECZQSW-UHFFFAOYSA-N,NA,NA,NA,NA
UV-327,NA,CAS_3864-99-1,UWSMKYBKUPAEJQ-UHFFFAOYSA-N,NA,NA,NA,NA
UV-326,NA,CAS_3896-11-5,OCWYEMOEOGEQAN-UHFFFAOYSA-N,NA,NA,NA,NA
OCDF (F135),NA,CAS_39001-02-0,RHIROFAGUQOFLU-UHFFFAOYSA-N,NA,NA,NA,NA
"1H,1H,2H,2H-perfluordekansulfonsyre (8:2 FTS)",NA,CAS_39108-34-4,ALVYVCQIFHTIRD-UHFFFAOYSA-N,NA,NA,NA,NA
HxCDD (D66),NA,CAS_39227-28-6,WCYYQNSQJHPVMG-UHFFFAOYSA-N,NA,NA,NA,NA
"1H,1H,2H,2H-perfluortetradekan-1-ol (12:2 FTOH)",NA,CAS_39239-77-5,QBBJBWKVSJWYQK-UHFFFAOYSA-N,NA,NA,NA,NA
PCB189,NA,CAS_39635-31-9,XUAWBXBYHDRROL-UHFFFAOYSA-N,NA,NA,NA,NA
PCB111,NA,CAS_39635-32-0,QMUDLTGWHILKHH-UHFFFAOYSA-N,NA,NA,NA,NA
trans-Nonaklor,NA,CAS_39765-80-5,OCHOKXCPKDPNQU-FLVMBEMLSA-N,NA,NA,NA,NA
Sum TetraBDE,Stressor,CAS_40088-47-9,VIHUMJGEWQPWOT-UHFFFAOYSA-N,NA,Mixture,NA,NA
PCB206,NA,CAS_40186-72-9,JFIMDKGRGPNPRQ-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2,3,7,8/1,2,3,4,8-PeCDF",NA,CAS_40321-76-4,NA,NA,NA,NA,NA
PeCDD (D54),NA,CAS_40321-76-4,FSPZPQQWDODWAU-UHFFFAOYSA-N,NA,NA,NA,NA
N-etyl perfluorbutansulfonamid (N-EtFBSA),NA,CAS_40630-67-9,SSTPSALUCQWOOV-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE28,NA,CAS_41318-75-6,UPNBETHEXPIWQX-UHFFFAOYSA-N,NA,NA,NA,NA
PCB44,NA,CAS_41464-39-5,ALDJIKXAHSDLLB-UHFFFAOYSA-N,NA,NA,NA,NA
N-etyl perfluoroktansulfonamid (N-EtFOSA),NA,CAS_4151-50-2,CCEKAJIANROZEO-UHFFFAOYSA-N,NA,NA,NA,NA
Isopropylparaben,NA,CAS_4191-73-5,CMHMMKSPYOOVGI-UHFFFAOYSA-N,NA,NA,NA,NA
Bis(4-heksylfenyl)amin,NA,CAS_419566-33-9,ZRXIMHFLYXQJNI-UHFFFAOYSA-N,NA,NA,NA,NA
Neopentyl glycol dibenzoat,NA,CAS_4196-89-8,DYJIIMFHSZKBDY-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorheksansulfonamid (PFHxSA),NA,CAS_41997-13-1,WDZLGCSJJWEQJO-UHFFFAOYSA-N,NA,NA,NA,NA
2-klorotritylklorid,NA,CAS_42074-68-0,JFLSOKIMYBSASW-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorpropansyre,NA,CAS_422-64-0,LRMSQVBRUNSOJL-UHFFFAOYSA-N,NA,NA,NA,NA
"1,6-Dinitropyrene (1,6-dNPY)",NA,CAS_42397-64-8,GUXACCKTQWVTLG-UHFFFAOYSA-N,NA,NA,NA,NA
N-nitropiperazin,NA,CAS_42499-41-2,KNZVXSFTGQDAPP-UHFFFAOYSA-N,NA,NA,NA,NA
Bifenox,NA,CAS_42576-02-3,SUSRORUBZHMPCO-UHFFFAOYSA-N,NA,NA,NA,NA
Flumequin,NA,CAS_42835-25-6,DPSPPJIUMHPXMA-UHFFFAOYSA-N,NA,NA,NA,NA
"2-butyl-2,3-dihydrobenzisotiazol-3-on",NA,CAS_4299-07-4,LUYIHWDYPAZCNN-UHFFFAOYSA-N,NA,NA,NA,NA
Fenbendazol,NA,CAS_43210-67-9,HDDSHPAODJUKPD-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE207,NA,CAS_437701-79-6,IEEVDIAVLGLVOW-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE118,NA,CAS_446254-80-4,VTMFEPLDDHZBGI-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE191,NA,CAS_446255-30-7,BNBFKFHSIPERIM-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE195,NA,CAS_446255-38-5,GPQLSLKPHQEEOP-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE196,NA,CAS_446255-38-5,IEWFKOVTVJNWFF-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE205,NA,CAS_446255-56-7,CVMKCYDBEYHNBM-UHFFFAOYSA-N,NA,NA,NA,NA
4-tert-butyldifenylamin,NA,CAS_4496-49-5,UOMXLEWVJZEVGP-UHFFFAOYSA-N,NA,NA,NA,NA
Dicyandiamid,NA,CAS_461-58-5,QGBSISYHAICWAH-UHFFFAOYSA-N,NA,NA,NA,NA
"4,4'-di-tert-butyldifenylamin",NA,CAS_4627-22-9,OPEKHRGERHDLRK-UHFFFAOYSA-N,NA,NA,NA,NA
Isodrin,NA,CAS_465-73-6,QBYJBZPUGVGKQQ-SEIHLVFNSA-N,NA,NA,NA,NA
Klorfenvinfos,NA,CAS_470-90-6,KLXJPQNHFFMLIG-UHFFFAOYSA-N,NA,NA,NA,NA
"2,3,4,5-tetraklorfenol",NA,CAS_4901-51-3,RULKYXXCCZZKDZ-UHFFFAOYSA-N,NA,NA,NA,NA
Sum TriBDE,Stressor,CAS_49690-94-0,BUQBQEYUVAKJQK-UHFFFAOYSA-N,NA,Mixture,NA,NA
Formaldehyd,NA,CAS_50-00-0,WSFSSNUMVMOOMR-UHFFFAOYSA-N,NA,NA,NA,NA
"Bis-(9,9-dimetylfluoren-2-yl)amin",NA,CAS_500717-23-7,LCSMGMWMTSWXDD-UHFFFAOYSA-N,NA,NA,NA,NA
pp'-DDT,NA,CAS_50-29-3,YVGGHNCTFXOJCH-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[a]pyren,NA,CAS_50-32-8,FMMWHPNWAFZXNH-UHFFFAOYSA-N,NA,NA,NA,NA
Amitriptylin (legemiddel),NA,CAS_50-48-6,KRMDCWKBEZIMAB-UHFFFAOYSA-N,NA,NA,NA,NA
cis-Klordan,NA,CAS_5103-71-9,BIWJNBZANLAXMG-KMMBHOGFSA-N,NA,NA,NA,NA
trans-Klordan,NA,CAS_5103-74-2,BIWJNBZANLAXMG-MPPHZFHBSA-N,NA,NA,NA,NA
TCDF (F83),NA,CAS_51207-31-9,KSMVNVHUTQZITP-UHFFFAOYSA-N,NA,NA,NA,NA
Tripropylfosfat (TPrP),NA,CAS_513-08-6,RXPQRKFMDQNODS-UHFFFAOYSA-N,NA,NA,NA,NA
4-Nonylfenol trietoksylat (NP3EO),NA,CAS_51437-95-7,ZIJRVWRFZGXKMY-UHFFFAOYSA-N,NA,NA,NA,NA
PCB146,NA,CAS_51908-16-8,BQHCQAQLTCQFJZ-UHFFFAOYSA-N,NA,NA,NA,NA
Deaminodiketometribuzin,NA,CAS_52236-30-3,ZARIFGFXSIZTAK-UHFFFAOYSA-N,NA,NA,NA,NA
Cypermetrin,NA,CAS_52315-07-8,KAATUXNTWXVJKI-UHFFFAOYSA-N,NA,NA,NA,NA
Propranolol (legemiddel),NA,CAS_525-66-6,AQHHHDLHHXJYJD-UHFFFAOYSA-N,NA,NA,NA,NA
Permetrin,NA,CAS_52645-53-1,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB187,NA,CAS_52663-68-0,UDMZPLROONOSEF-UHFFFAOYSA-N,NA,NA,NA,NA
PCB183,NA,CAS_52663-69-1,KQBFUDNJKCZEDQ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB167,NA,CAS_52663-72-6,AZXHAWRMEPZSSV-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2,3-trimetylbenzen",NA,CAS_526-73-8,FYGHSUNMUKGBRK-UHFFFAOYSA-N,NA,NA,NA,NA
"2,3-dimetylfenol",NA,CAS_526-75-0,QWBBPBRQALCEIZ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB141,NA,CAS_52712-04-6,UCLKLGIYGBLTSM-UHFFFAOYSA-N,NA,NA,NA,NA
"2,4,6-trimetylfenol",NA,CAS_527-60-6,BPRYUXCVCCNUFE-UHFFFAOYSA-N,NA,NA,NA,NA
Deltamethrin,NA,CAS_52918-63-5,OWZREIFADZCYQD-NSHGMRRFSA-N,NA,NA,NA,NA
1-Hydroksypyren,NA,CAS_5315-79-7,BIJNHUAPTJVVNQ-UHFFFAOYSA-N,NA,NA,NA,NA
op'-DDD,NA,CAS_53-19-0,JWBOIMRXGHLCPP-UHFFFAOYSA-N,NA,NA,NA,NA
"1,3,5-triklor-2,4,6-trimetylbenzen",NA,CAS_5324-68-5,VMNISWKTOHUZQN-UHFFFAOYSA-N,NA,NA,NA,NA
Difenyltinn kation (DPhT),NA,CAS_53675-52-8,KUCPUSUXIGWHFB-UHFFFAOYSA-N,NA,NA,NA,NA
"Dibenzo[a,h]antracen",NA,CAS_53-70-3,LHRCREOYAASXPZ-UHFFFAOYSA-N,NA,NA,NA,NA
"2,4'-Bisfenol S",NA,CAS_5397-34-2,LROZSPADHSXFJA-UHFFFAOYSA-N,NA,NA,NA,NA
Dodekametylsykloheksasiloksan (D6),NA,CAS_540-97-6,IUMSDRXLFWAGNT-UHFFFAOYSA-N,NA,NA,NA,NA
Dekametylsyklopentasiloksan (D5),NA,CAS_541-02-6,XMSXQFUHVRWGNA-UHFFFAOYSA-N,NA,NA,NA,NA
Heksametylsyklotrisiloksan (D3),NA,CAS_541-05-9,HTDJPCNNEPUOOQ-UHFFFAOYSA-N,NA,NA,NA,NA
"1,3-diklorbenzen",NA,CAS_541-73-1,ZPQOPVIELGIULI-UHFFFAOYSA-N,NA,NA,NA,NA
Doksorubicinol (legemiddelrest),NA,CAS_54193-28-1,HXLDWBVPJMGMOZ-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE47,NA,CAS_5436-43-1,XYBSIYMGXVUVGY-UHFFFAOYSA-N,NA,NA,NA,NA
Isosyklemon E,NA,CAS_54464-57-2,FVUGZKDGWGKCFE-UHFFFAOYSA-N,NA,NA,NA,NA
Oktylmetoksycinnamat (EHMC),NA,CAS_5466-77-3,YBGZDTIWKVFICR-JLHYYAGUSA-N,NA,NA,NA,NA
N-nitrosodietylamin,NA,CAS_55-18-5,WBNQDOYYEUMPFS-UHFFFAOYSA-N,NA,NA,NA,NA
1-Nitropyren (1-NPY),NA,CAS_5522-43-0,ALRLPDGCPYIVHP-UHFFFAOYSA-N,NA,NA,NA,NA
Prazikvantel,NA,CAS_55268-74-1,FSVJFNAIGNNGKK-UHFFFAOYSA-N,NA,NA,NA,NA
"Bis(3,4-dimetylfenyl)amin",NA,CAS_55389-75-8,IMQQPEKHINRTCE-UHFFFAOYSA-N,NA,NA,NA,NA
3-iod-2-propynylbutylkarbamat,NA,CAS_55406-53-6,WYVVKGNFXHOCQV-UHFFFAOYSA-N,NA,NA,NA,NA
Oktametylsyklotetrasiloksan (D4),NA,CAS_556-67-2,HMMGMWAXVFQUOA-UHFFFAOYSA-N,NA,NA,NA,NA
Heksadekametylsyklooktasiloksan (D8),NA,CAS_556-68-3,XKJMJYZFAWYREL-UHFFFAOYSA-N,NA,NA,NA,NA
Oktadekametylsyklononasiloksan (D9),NA,CAS_556-71-8,ISXOGOLHEGHGQF-UHFFFAOYSA-N,NA,NA,NA,NA
HpCDF (F134),NA,CAS_55673-89-7,VEZCTZWLJYWARH-UHFFFAOYSA-N,NA,NA,NA,NA
Sum Oktaklorbifenyl,Stressor,CAS_55722-26-4,JAHJITLFJSDRCG-UHFFFAOYSA-N,NA,Mixture,NA,NA
4-isopropylfenyl difenylfosfat,NA,CAS_55864-04-5,JUHFQCKQQLMGAB-UHFFFAOYSA-N,NA,NA,NA,NA
Bis(4-isopropylfenyl) fenyl fosfat,NA,CAS_55864-07-8,GQJZORIDXGBCCT-UHFFFAOYSA-N,NA,NA,NA,NA
Sukralose,NA,CAS_56038-13-2,BAQAVOSOZGMPRM-QBMZZYIRSA-N,NA,NA,NA,NA
Difenacoum,NA,CAS_56073-07-5,FVQITOLOYMWVFU-UHFFFAOYSA-N,NA,NA,NA,NA
Brodifacoum,NA,CAS_56073-10-0,VEUZZDOCACZPRY-UHFFFAOYSA-N,NA,NA,NA,NA
Karbontetraklorid,NA,CAS_56-23-5,VZGDMQKNWNREIO-UHFFFAOYSA-N,NA,NA,NA,NA
N-nitrosopiperazin,NA,CAS_5632-47-3,CVTIZMOISGMZRJ-UHFFFAOYSA-N,NA,NA,NA,NA
Diketometribuzin,NA,CAS_56507-37-0,AHBXXEZLRFCZSF-UHFFFAOYSA-N,NA,NA,NA,NA
Benzo[a]antracen,NA,CAS_56-55-3,DXBHBZVCASKNBY-UHFFFAOYSA-N,NA,NA,NA,NA
PeCDF (F114),NA,CAS_57117-31-4,OGBQILNBLMPPDP-UHFFFAOYSA-N,NA,NA,NA,NA
PeCDF (F94),NA,CAS_57117-41-6,SBMIVUVRFPGOEB-UHFFFAOYSA-N,NA,NA,NA,NA
HxCDF (F121),NA,CAS_57117-44-9,JEYJJJXOFWNEHN-UHFFFAOYSA-N,NA,NA,NA,NA
Cyanid,NA,CAS_57-12-5,XFXPMWWXUTWYJX-UHFFFAOYSA-N,NA,NA,NA,NA
"1,5-dimetylnaftalen",NA,CAS_571-61-9,SDDBCEWUYXVGCQ-UHFFFAOYSA-N,NA,NA,NA,NA
Morfin (legemiddel),NA,CAS_57-27-2,BQJCRHHNABKAKU-KBQPJGBKSA-N,NA,NA,NA,NA
PCB126,NA,CAS_57465-28-8,REHONNLQRWTIFF-UHFFFAOYSA-N,NA,NA,NA,NA
"1,6-dimetylnaftalen",NA,CAS_575-43-9,CBMXCNPQDUJNHT-UHFFFAOYSA-N,NA,NA,NA,NA
Propylenglykol,NA,CAS_57-55-6,DNIAPMSPPWPWGF-UHFFFAOYSA-N,NA,NA,NA,NA
"2,3-diklorfenol",NA,CAS_576-24-9,UMPSXRYVXUPCOS-UHFFFAOYSA-N,NA,NA,NA,NA
"2,6-dimetylfenol",NA,CAS_576-26-1,NXXYKOUNUYWIHA-UHFFFAOYSA-N,NA,NA,NA,NA
HxCDD (D67),NA,CAS_57653-85-7,YCLUIPQDHHPDJJ-UHFFFAOYSA-N,NA,NA,NA,NA
"bis (1H,1H,2H,2H-perfluoroktylfosfat)",NA,CAS_57677-95-9,ZDYYWMSLMLTXDM-UHFFFAOYSA-N,NA,NA,NA,NA
4-Nitropyren (4-NPY),NA,CAS_57835-92-4,UISKIUIWPSPSAV-UHFFFAOYSA-N,NA,NA,NA,NA
Metalaksyl,NA,CAS_57837-19-1,ZQEIXNIJLIKNTD-UHFFFAOYSA-N,NA,NA,NA,NA
"2,6-dimetylnaftalen",NA,CAS_581-42-0,YGYNBBAUIYTWBF-UHFFFAOYSA-N,NA,NA,NA,NA
"2,5-diklorfenol",NA,CAS_583-78-8,RANCECPPZPIPNO-UHFFFAOYSA-N,NA,NA,NA,NA
3-tert-butylfenol,NA,CAS_585-34-2,CYEKUDPFXBLGHH-UHFFFAOYSA-N,NA,NA,NA,NA
Lindan (g-HCH),NA,CAS_58-89-9,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,NA,NA,NA,NA
"2,3,4,6-tetraklorfenol",NA,CAS_58-90-2,VGVRPFIJEJYOFN-UHFFFAOYSA-N,NA,NA,NA,NA
PBB52,NA,CAS_59080-37-4,XEFMFJLRXHQLEM-UHFFFAOYSA-N,NA,NA,NA,NA
PBB153,NA,CAS_59080-40-9,HMBBJSKXDBUNNT-UHFFFAOYSA-N,NA,NA,NA,NA
"3,5-diklorfenol",NA,CAS_591-35-5,VPOMSPZBQMDLTM-UHFFFAOYSA-N,NA,NA,NA,NA
N-nitrosomorfolin,NA,CAS_59-89-2,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,NA,NA,NA,NA
Etylendiamintetraeddiksyre (EDTA),NA,CAS_60-00-4,KCXVZYZYPLLWCC-UHFFFAOYSA-N,NA,NA,NA,NA
PBB49,NA,CAS_60044-24-8,LUASYBWZXWTYKK-UHFFFAOYSA-N,NA,NA,NA,NA
9-Nitroantracen (9-NAA),NA,CAS_602-60-8,LSIKFJXEYJIZNB-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE99,NA,CAS_60348-60-9,WHPVYXDFIXRKLN-UHFFFAOYSA-N,NA,NA,NA,NA
"9,10-dimetylfenantren",NA,CAS_604-83-1,JUEORGSHIXFSSI-UHFFFAOYSA-N,NA,NA,NA,NA
Bis(2-etoksyetyl)ftalat,NA,CAS_605-54-9,RMKYMNRQXYPJHL-UHFFFAOYSA-N,NA,NA,NA,NA
Trisykloheksyltinn kation (TCHT),NA,CAS_6056-50-4,RNVJQUPAEIQUTC-UHFFFAOYSA-N,NA,NA,NA,NA
Dieldrin,NA,CAS_60-57-1,DFBKLUNHFCTMDC-PICURKEMSA-N,NA,NA,NA,NA
"2,4,6-tribromanisol",NA,CAS_607-99-8,YXTRCOAFNXQTKL-UHFFFAOYSA-N,NA,NA,NA,NA
HxCDF (F130),NA,CAS_60851-34-5,XTAHLACQOVXINQ-UHFFFAOYSA-N,NA,NA,NA,NA
Sum HCH (må spesifiseres),Stressor,CAS_608-73-1,NA,NA,Mixture,NA,NA
Pentabrombenzen,NA,CAS_608-90-2,LLVVSBBXENOOQY-UHFFFAOYSA-N,NA,NA,NA,NA
Pentaklorbenzen,NA,CAS_608-93-5,CEOCDNVZRAIOQZ-UHFFFAOYSA-N,NA,NA,NA,NA
"3,4,5-triklorfenol",NA,CAS_609-19-8,GBNHEBQXJVDXSW-UHFFFAOYSA-N,NA,NA,NA,NA
Benzylpenicillin (legemiddel),NA,CAS_61-33-6,JGSARLDLIJGVTE-MBNYWOFBSA-N,NA,NA,NA,NA
2-(Metyltio)benzotiazol,NA,CAS_615-22-5,UTBVIMLZIRIFFR-UHFFFAOYSA-N,NA,NA,NA,NA
Kokamidopropylbetain,NA,CAS_61789-40-0,MRUAUOIMASANKQ-UHFFFAOYSA-N,NA,NA,NA,NA
Oktokrylen,NA,CAS_6197-30-4,FMJSMJQBSVNSBF-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol F,NA,CAS_620-92-8,PXKLMJQFEQBVLD-UHFFFAOYSA-N,NA,NA,NA,NA
N-Nitrosodipropylamin,NA,CAS_621-64-7,YLKFDHTUAUWZPQ-UHFFFAOYSA-N,NA,NA,NA,NA
Diklorvos,NA,CAS_62-73-7,OEBRKCOSUFCWJD-UHFFFAOYSA-N,NA,NA,NA,NA
N-nitrosodimetylamin,NA,CAS_62-75-9,UMFJAHHVKNCGLG-UHFFFAOYSA-N,NA,NA,NA,NA
PCB50,NA,CAS_62796-65-0,VLLVVZDKBSYMCG-UHFFFAOYSA-N,NA,NA,NA,NA
Tetrabromftalsyreanhydrid,NA,CAS_632-79-1,QHWKHLYUUZGSCW-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2,3,4-tetraklorbenzen",NA,CAS_634-66-2,GBDZXPJXOMHESU-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2,3,5-tetraklorbenzen",NA,CAS_634-90-2,QZYNWJQFTJXIRN-UHFFFAOYSA-N,NA,NA,NA,NA
Cefotaksim (legemiddel),NA,CAS_63527-52-6,GPRBEKHLDVQUJE-QSWIMTSFSA-N,NA,NA,NA,NA
PBDE206,NA,CAS_63936-56-1,CYRHBNRLQMLULE-UHFFFAOYSA-N,NA,NA,NA,NA
2-n-propylfenol,NA,CAS_644-35-9,LCHYEKKJCUJAKN-UHFFFAOYSA-N,NA,NA,NA,NA
2-Isopropylfenyl difenylfosfat,NA,CAS_64532-94-1,JJXNVYMIYBNZQX-UHFFFAOYSA-N,NA,NA,NA,NA
Tri(isopropylfenyl) fosfat,NA,CAS_64532-95-2,LIPMRGQQBZJCTM-UHFFFAOYSA-N,NA,NA,NA,NA
4-n-propylfenol,NA,CAS_645-56-7,KLSLBUSXWBJMEC-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluor-4-(perfluoretyl)sykloheksylsulfonsyre (PFECHS),NA,CAS_646-83-3,ICKAEAFPESRWOT-UHFFFAOYSA-N,NA,NA,NA,NA
"1H,1H,2H,2H-perfluoroktanol (6:2 FTOH)",NA,CAS_647-42-7,GRJRKPMIRMSBNK-UHFFFAOYSA-N,NA,NA,NA,NA
"Perfluor-2,5,8-trimetyl-3,6,9-trioksadodekansyre (369O3-PFDoDA)",NA,CAS_65294-16-8,HPNULWLLEOKCID-UHFFFAOYSA-N,NA,NA,NA,NA
PCB123,NA,CAS_65510-44-3,YAHNWSSFXMVPOU-UHFFFAOYSA-N,NA,NA,NA,NA
Metformin (legemiddel),NA,CAS_657-24-9,XZWYZXLIPXDOLR-UHFFFAOYSA-N,NA,NA,NA,NA
Ioheksol (legemiddel),NA,CAS_66108-95-0,NTHXOOBQLCIOLC-UHFFFAOYSA-N,NA,NA,NA,NA
Alkoholpolyetoksilat (C10-C14),NA,CAS_66455-15-0,NA,NA,NA,NA,NA
O-klorfenylmetanol,NA,CAS_66774-02-5,KTVAHLGKTSPDOG-UHFFFAOYSA-N,NA,NA,NA,NA
Trifenyltinn kation (TPhT),NA,CAS_668-34-8,XBRCDWHXULVEFB-UHFFFAOYSA-N,NA,NA,NA,NA
HpCDF (F131),NA,CAS_67562-39-4,WDMKCPIVJOGHBF-UHFFFAOYSA-N,NA,NA,NA,NA
Triklormetan,NA,CAS_67-66-3,HEDRZPFGACZZDS-UHFFFAOYSA-N,NA,NA,NA,NA
Heksakloretan,NA,CAS_67-72-1,VHHHONWQHHHLTI-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE202,NA,CAS_67797-09-5,AHNZLQAZTWRRDW-UHFFFAOYSA-N,NA,NA,NA,NA
"1H,1H,2H,2H-perfluordekanol (8:2 FTOH)",NA,CAS_678-39-7,JJUBFBTUBACDHW-UHFFFAOYSA-N,NA,NA,NA,NA
"bis (1H,1H,2H,2H-perfluordecylfosfat)",NA,CAS_678-41-1,AFWOYEYXUDHGHF-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorheksadekansyre (PFHxDA),NA,CAS_67905-19-5,OJMBMWRMTMHMSZ-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluordekansulfonsyre ammoniumsalt (PFDcS),NA,CAS_67906-42-7,KVTQOQYMILOCBD-UHFFFAOYSA-N,NA,NA,NA,NA
N-metyl perfluorbutansulfonamid (N-MeFBSA),NA,CAS_68298-12-4,BEIWUHUHJDEMQO-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE153,NA,CAS_68631-49-2,RZXIRSKYBISPGF-UHFFFAOYSA-N,NA,NA,NA,NA
4-tert-oktylfenylfenylamin,NA,CAS_68921-45-9,OSFOTMWFXQGWKZ-UHFFFAOYSA-N,NA,NA,NA,NA
Sum NonaBDE,Stressor,CAS_68928-79-0,NA,NA,Mixture,NA,NA
Sum HeptaBDE,Stressor,CAS_68928-80-3,NLBLNZDNOSSGPW-UHFFFAOYSA-N,NA,Mixture,NA,NA
Cetrimonium,NA,CAS_6899-10-1,RLGQACBPNDBWTB-UHFFFAOYSA-N,NA,NA,NA,NA
Diisopropylbifenyl,NA,CAS_69009-90-1,AMBHHSBRXZAGDZ-UHFFFAOYSA-N,NA,NA,NA,NA
"2,3,5-trimetylfenol",NA,CAS_697-82-5,OGRAOKJKVGDSFR-UHFFFAOYSA-N,NA,NA,NA,NA
PCB157,NA,CAS_69782-90-7,YTWXDQVNPCIEOX-UHFFFAOYSA-N,NA,NA,NA,NA
PCB28,NA,CAS_7012-37-5,BZTYNSQSZHARAZ-UHFFFAOYSA-N,NA,NA,NA,NA
Avobenzone,NA,CAS_70356-09-1,XNEFYCZVKIDDMS-UHFFFAOYSA-N,NA,NA,NA,NA
PCB81,NA,CAS_70362-50-4,BHWVLZJTVIYLIV-UHFFFAOYSA-N,NA,NA,NA,NA
HxCDF (F118),NA,CAS_70648-26-9,LVYBAQIVPKCOEE-UHFFFAOYSA-N,NA,NA,NA,NA
Umettet fluortelomer karboksylsyre (8:2 FTUCA),NA,CAS_70887-84-2,WHZXTVOEGZRRJM-UHFFFAOYSA-N,NA,NA,NA,NA
Benzen,NA,CAS_71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,NA,NA,NA,NA
Formiat,NA,CAS_71-47-6,BDAGIHXWWSANSR-UHFFFAOYSA-M,NA,NA,NA,NA
Acetat,NA,CAS_71-50-1,QTBSBXVTEAMEQO-UHFFFAOYSA-M,NA,NA,NA,NA
"1,1,1-Trikloretan",NA,CAS_71-55-6,UOCLXMDMGBRAIB-UHFFFAOYSA-N,NA,NA,NA,NA
"2,6-Di-tert-butyl-P-benzoquinon (BHT-Q)",NA,CAS_719-22-2,RDQSIADLBQFVMY-UHFFFAOYSA-N,NA,NA,NA,NA
Endrin,NA,CAS_72-20-8,DFBKLUNHFCTMDC-GKRDHZSOSA-N,NA,NA,NA,NA
pp'-DDD,NA,CAS_72-54-8,AHJKRLASYNVKDZ-UHFFFAOYSA-N,NA,NA,NA,NA
pp'-DDE,NA,CAS_72-55-9,UCNVFOCBFJOQAL-UHFFFAOYSA-N,NA,NA,NA,NA
4-heptylfenol,NA,CAS_72624-02-3,KNDDEFBFJLKPFE-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluortridekansyre (PFTrDA),NA,CAS_72629-94-8,LVDGGZAZAYHXEY-UHFFFAOYSA-N,NA,NA,NA,NA
HxCDF (F124),NA,CAS_72918-21-9,PYUSJFJVDVSXIU-UHFFFAOYSA-N,NA,NA,NA,NA
"2,4,6-tri-tert-butylfenol",NA,CAS_732-26-3,PFEFOYRSMXVNEL-UHFFFAOYSA-N,NA,NA,NA,NA
Iopromide (legemiddel),NA,CAS_73334-07-3,DGAIEPBNLOQYER-UHFFFAOYSA-N,NA,NA,NA,NA
Eicosyltrimetylammoniumbromid (ATAC-C20),NA,CAS_7342-61-2,MIKQUZGJQABVKX-UHFFFAOYSA-M,NA,NA,NA,NA
6:2 Cl-PFAES (F-53B),NA,CAS_73606-19-6,OWQCHLFKOGVODW-UHFFFAOYSA-M,NA,NA,NA,NA
"N,N-Dimetyloktylamin",NA,CAS_7378-99-6,UQKAOOAFEFCDGT-UHFFFAOYSA-N,NA,NA,NA,NA
Aluminium,NA,CAS_7429-90-5,XAGFODPZIPBFFR-UHFFFAOYSA-N,NA,NA,NA,NA
Dysprosium,NA,CAS_7429-91-6,KBQHZAAAGSGFKK-UHFFFAOYSA-N,NA,NA,NA,NA
2-(nitroamino)etanol,NA,CAS_74386-82-6,LATUZCZOMGJGGZ-UHFFFAOYSA-N,NA,NA,NA,NA
Jern,NA,CAS_7439-89-6,XEEYBQQBJWHFJM-UHFFFAOYSA-N,NA,NA,NA,NA
Lantan,NA,CAS_7439-91-0,FZLIPJUXYLNCLC-UHFFFAOYSA-N,NA,NA,NA,NA
Bly,NA,CAS_7439-92-1,WABPQHHGFIMREM-UHFFFAOYSA-N,NA,NA,NA,NA
Litium,NA,CAS_7439-93-2,WHXSMMKQMYFTQS-UHFFFAOYSA-N,NA,NA,NA,NA
Lutetium,NA,CAS_7439-94-3,OHSVLFRHMCKCQY-UHFFFAOYSA-N,NA,NA,NA,NA
